222.186.190.62:36314,99
149.28.60.54:8080,100
195.201.61.51:8000,100
47.89.243.96:3128,99
95.179.209.205:8080,100
183.213.26.12:3128,100
51.158.68.68:8811,100
78.47.16.54:80,100
149.28.43.184:8080,100
51.83.193.220:80,100
62.171.144.29:3128,100
51.158.68.68:8761,100
103.4.94.11:3128,100
200.62.96.71:80,100
112.169.9.162:8081,100
176.241.129.113:3128,100
109.111.192.74:8080,100
51.158.99.51:8761,100
51.158.172.165:8761,100
35.72.191.79:8080,100
167.172.184.166:43827,100
167.71.41.173:41491,100
139.59.38.189:3128,100
51.158.180.179:8811,99
118.179.223.130:80,100
41.65.147.34:8080,99
182.253.70.193:80,100
23.21.12.2:80,99
167.71.41.173:36803,100
122.186.228.6:80,100
62.210.203.211:8080,100
185.126.200.166:3128,100
110.171.29.149:8080,99
31.3.15.82:3128,100
191.101.39.81:80,100
139.180.213.137:8080,100
138.199.30.141:3128,100
204.199.85.180:3128,99
81.173.204.98:80,100
45.233.169.28:999,99
34.203.142.175:80,100
45.79.39.147:3128,100
85.31.246.47:3128,99
27.148.248.203:80,100
101.108.88.183:8080,99
51.158.172.165:8811,100
159.65.125.104:3128,100
113.214.13.1:1080,100
66.42.39.36:8080,100
188.166.125.206:41480,100
161.35.216.134:3128,100
167.172.184.166:36726,100
172.106.11.102:3128,100
169.57.1.84:80,100
185.38.111.1:8080,99
114.7.27.98:8080,100
136.243.42.40:10003,99
169.57.1.85:8123,100
165.227.173.87:44641,99
195.1.208.121:80,99
62.210.110.6:8080,100
112.78.179.76:80,99
103.247.217.38:8080,99
161.35.4.201:80,100
141.164.45.66:8080,100
125.164.103.159:8080,100
147.135.114.6:3128,99
3.96.212.98:80,100
13.228.25.153:80,100
103.28.121.58:3128,100
163.172.47.182:8080,100
41.162.186.2:48017,99
167.172.184.166:42255,100
183.89.171.184:8080,99
51.159.24.172:3167,100
138.199.30.137:3128,100
51.158.107.202:9999,100
169.57.1.84:8123,100
159.8.114.37:8123,100
198.211.5.113:3128,100
116.117.134.135:8081,100
203.202.245.58:80,100
12.156.45.155:3128,99
138.199.29.134:3128,100
190.14.225.117:3128,99
116.117.134.134:82,100
54.165.67.102:8080,100
167.172.109.12:40239,100
113.53.82.92:39726,100
138.197.223.184:3128,100
185.126.200.165:3128,100
159.8.114.37:25,100
207.246.125.75:8080,100
169.57.157.148:80,100
169.57.157.148:8123,100
3.36.65.133:80,99
143.198.2.174:8080,100
175.17.155.214:8080,100
20.186.110.157:3128,99
151.233.59.167:8080,99
191.235.72.144:8000,100
167.172.180.46:34071,99
110.78.141.147:8080,99
47.57.188.208:80,99
178.128.125.16:35577,99
152.67.48.62:3128,100
175.141.69.203:80,99
41.198.132.230:8080,100
51.75.147.43:3128,99
93.157.12.248:8080,99
51.79.29.6:80,100
114.215.198.156:80,100
13.250.120.170:80,100
3.211.65.185:80,100
39.106.223.134:80,100
117.50.113.38:80,100
35.203.126.35:8080,100
8.129.180.208:80,100
35.199.66.242:8080,100
69.63.170.74:3128,100
47.243.22.216:80,100
77.232.100.132:80,100
13.250.14.205:80,100
45.32.175.66:80,100
189.41.85.155:3128,100
5.189.171.179:80,100
178.63.126.10:1080,100
218.60.8.99:3129,100
47.95.178.212:3128,100
218.60.8.83:3129,100
88.99.10.248:1080,100
47.242.228.13:8080,100
120.232.150.110:80,100
120.232.150.100:80,100
176.9.85.13:3128,100
178.63.126.11:1080,100
116.117.134.135:80,100
149.28.151.138:8888,100
167.172.109.12:37129,99
165.225.76.167:10605,99
161.202.226.194:80,100
60.255.151.82:80,100
122.15.211.124:80,99
149.28.128.57:8080,100
165.225.76.172:10605,99
165.225.76.169:10605,99
178.63.126.8:1080,100
118.27.27.165:3128,99
59.125.123.129:81,100
3.141.186.75:3128,100
159.8.114.37:80,100
167.172.184.166:34580,100
138.199.29.130:3128,100
183.89.60.5:8080,100
218.147.194.29:80,99
212.102.52.6:3128,100
180.94.69.66:8080,99
119.81.71.27:8123,100
180.183.229.152:8080,100
167.172.191.249:34327,100
188.166.125.206:36731,99
62.23.15.92:6666,99
176.193.146.245:53281,99
138.199.29.143:3128,100
103.145.44.28:80,99
37.235.97.15:3128,100
165.227.173.87:43891,100
51.158.180.179:8761,100
41.229.253.214:8080,99
101.108.80.228:8080,100
84.22.37.201:8080,100
119.206.79.20:80,100
51.222.68.126:3128,100
36.79.238.59:8080,100
51.79.157.202:443,100
49.48.97.35:8080,100
103.145.44.21:80,99
177.220.136.22:80,100
167.172.180.46:43891,100
51.222.137.230:3128,100
202.83.125.254:80,99
167.172.184.166:37598,100
128.199.157.149:80,99
171.6.79.123:8080,100
23.92.27.50:80,100
138.199.30.139:3128,100
103.92.27.185:4009,100
191.101.39.27:80,100
117.222.60.25:8080,99
74.143.245.221:80,99
36.85.155.212:8080,99
149.28.53.34:8080,99
37.120.140.158:3128,100
101.51.247.211:8080,99
51.75.147.44:3128,99
69.24.199.149:80,100
8.210.141.9:1082,99
167.71.41.173:40806,100
159.8.114.34:8123,100
89.250.149.114:60981,99
92.84.56.10:50782,99
80.241.251.54:8080,99
175.42.123.93:9999,99
69.65.65.178:58389,99
183.89.188.172:8080,100
144.217.101.245:3129,100
3.14.67.170:3128,100
167.172.109.12:45570,99
5.172.24.68:61444,99
36.94.37.66:8080,100
103.16.69.202:83,100
89.40.48.186:8080,99
36.89.51.165:8080,99
118.172.201.216:8080,99
212.102.53.84:3128,100
181.196.142.114:8888,99
203.142.69.179:8080,99
180.211.183.138:8080,99
183.88.100.249:8080,99
197.255.52.214:8081,99
206.189.1.220:3128,99
181.129.183.19:53281,99
213.226.11.149:41878,99
203.150.153.217:8080,100
93.115.233.143:8080,99
52.149.152.236:80,99
89.20.135.204:10000,100
124.121.2.188:8080,100
13.231.68.213:8081,99
112.169.9.162:80,99
146.59.237.207:3128,100
113.218.232.27:28937,100
14.97.2.107:80,100
103.142.70.70:80,100
37.235.97.16:3128,100
35.246.8.183:3128,100
167.172.109.12:40347,99
167.172.184.166:43132,99
222.129.36.77:57114,100
14.97.2.106:80,99
60.254.43.60:8080,99
137.59.155.14:80,100
145.40.78.181:3128,99
176.56.107.178:51528,100
36.66.124.193:3128,99
198.50.163.192:3129,100
51.75.144.32:3128,99
188.166.125.206:36956,99
59.36.10.52:3128,99
175.141.69.200:80,99
95.179.249.63:3128,100
165.227.11.196:80,100
134.122.40.11:3128,99
160.20.166.193:999,100
167.172.191.249:44048,99
137.59.162.114:43802,99
8.210.88.234:3128,100
91.126.239.175:8080,99
62.215.167.53:8080,100
52.74.18.115:80,99
62.23.15.92:3128,99
62.210.110.6:3128,99
168.119.153.224:3128,100
36.91.144.123:8080,99
138.199.29.146:3128,100
68.183.192.29:8080,100
167.172.180.40:42853,100
192.236.160.186:80,99
38.91.100.122:3128,99
183.89.113.94:8080,100
192.117.146.110:80,99
149.28.230.160:8080,100
38.91.100.171:3128,99
152.67.24.187:80,99
151.233.59.167:80,99
164.90.129.232:8080,100
181.198.42.174:999,99
103.236.193.225:83,99
109.111.192.125:8080,100
51.158.68.133:8811,100
139.180.191.129:8080,100
167.172.184.166:45902,99
18.223.149.86:3128,99
123.56.239.196:3128,100
88.198.82.11:8118,99
34.64.92.195:3128,100
186.91.245.53:8080,99
94.23.91.209:80,99
149.28.130.99:8080,100
14.97.2.104:80,99
139.59.52.232:3128,100
212.102.53.85:3128,100
188.166.125.206:45270,100
85.133.210.42:3128,99
191.101.39.154:80,100
85.185.161.139:8585,100
51.158.68.133:8761,100
180.179.98.22:3128,99
197.248.30.123:80,100
45.84.184.4:8080,100
221.182.31.54:8080,99
45.84.184.8:8080,100
18.190.67.239:80,99
138.199.29.131:3128,100
51.158.99.51:8811,100
20.195.17.90:3128,100
139.180.130.147:8080,100
138.199.30.140:3128,100
138.199.29.142:3128,100
207.180.232.87:80,98
103.120.144.144:80,99
134.209.130.135:10303,98
54.211.23.200:80,98
68.183.221.156:43934,98
2.187.233.74:8080,98
146.196.106.34:8080,98
222.129.35.203:57114,98
110.77.185.15:8080,99
35.192.25.5:3128,99
103.14.199.129:83,98
167.172.109.12:33839,98
47.90.132.228:8080,98
167.172.109.12:42592,98
222.186.190.62:31648,99
47.88.7.18:8088,99
122.155.165.191:3128,98
101.108.202.130:8080,98
138.197.102.119:80,98
47.90.132.228:8888,98
24.217.192.131:57273,98
83.12.149.202:8080,98
122.50.5.148:10000,99
36.66.191.186:3128,98
182.160.124.26:8081,98
180.211.248.222:8080,98
51.159.24.172:3155,99
37.120.192.154:8080,99
45.4.85.76:9991,98
45.33.79.26:80,98
59.14.228.34:80,99
110.36.239.234:8080,98
175.43.34.7:9999,98
212.102.53.87:3128,99
103.121.199.142:8080,98
103.28.121.58:80,99
104.238.129.20:8080,99
82.200.181.54:3129,98
159.65.171.69:80,98
192.109.165.129:80,99
179.52.65.148:999,98
85.185.159.75:8080,98
45.173.4.251:999,99
175.43.34.4:9999,98
209.169.103.51:80,98
113.194.142.191:9999,98
218.147.194.9:80,98
103.119.230.241:8080,98
45.70.196.137:999,99
165.227.173.87:44133,99
152.0.140.199:8080,99
167.172.109.12:37790,98
119.82.252.25:42914,98
124.48.218.245:80,99
222.186.190.62:33080,98
138.68.227.152:30872,98
167.172.109.12:34083,99
36.94.142.163:8000,97
165.22.64.68:35031,97
51.159.24.172:3162,97
167.172.109.12:40483,97
167.172.109.12:39496,98
202.43.190.11:8118,97
123.200.20.242:58847,97
58.176.147.14:8380,98
171.97.216.12:8080,97
199.192.25.207:8085,98
34.73.54.15:3128,98
180.211.158.122:58375,97
150.129.250.28:33846,97
185.3.213.8:8080,97
123.200.20.6:8080,97
157.230.103.91:43772,97
159.65.69.186:9300,97
178.212.241.235:8080,97
46.8.247.3:50967,98
31.14.49.1:8080,100
103.35.132.189:83,100
176.120.210.30:41258,100
186.157.242.229:8080,100
222.129.34.28:57114,100
125.160.8.161:8080,100
118.163.13.200:8080,100
222.186.190.62:31653,100
46.36.132.23:8080,100
109.172.57.250:23500,100
167.172.184.166:44550,100
178.134.208.126:50824,100
51.159.24.172:3163,100
36.249.109.7:9999,100
